course_code,course_name,credit_hours,department,gen_ed_requirements,description
AAS 281,Constructing Race in America,3,AAS,Humanities - Hist & Phil; Cultural Studies - US Minority,"Same as AFRO 281 , HIST 281 , and LLS 281 . See HIST 281 ."
AAS 282,Feminist and Queer Activisms,3,AAS,Cultural Studies - US Minority,Same as GWS 282 and LLS 282 . See GWS 282 .
AAS 283,Asian American History,3,AAS,Humanities - Hist & Phil; Cultural Studies - US Minority,Same as HIST 283 . See HIST 283 .
AAS 286,Asian American Literature,3,AAS,Humanities - Lit & Arts; Cultural Studies - US Minority,Same as ENGL 286 . See ENGL 286 .
AAS 287,Food and Asian Americans,3,AAS,Social & Beh Sci - Soc Sci; Cultural Studies - US Minority,"Introduction to the interdisciplinary study of food to better understand the historical, social, and cultural aspects of Asian American food preparation, distribution and consumption. Students will investigate the politics and poetics of Asian American foodways by examining social habits, and rituals around food in restaurants, ethnic cookbooks, fictional works, memoirs, magazines, and television shows. Prerequisite: AAS 100 or AAS 120 , or consent of instructor."
AAS 288,Global Islam and Feminisms,3,AAS,Cultural Studies - Non-West,Same as GWS 288 . See GWS 288 .
AAS 290,Individual Study,2 to 3,AAS,,Supervised reading and research in Asian American Studies chosen by the student with instructor approval. May be repeated to a maximum of 6 hours. Prerequisite: AAS 100 .
AAS 291,Hinduism in the United States,3,AAS,,Same as REL 291 . See REL 291 .
AAS 297,Asian Families in America,3,AAS,Social & Beh Sci - Soc Sci; Cultural Studies - US Minority,Same as HDFS 221 and SOCW 297 . See SOCW 297 .
AAS 299,Begin Topics Asian Am Studies,3,AAS,,May be repeated in the same or subsequent terms to a maximum of 6 hours.
AAS 300,"Theories of Race, Gender, and Sexuality",3,AAS,Advanced Composition,"Explores theories for performing interdisciplinary, intersectional and comparative studies within the field of Asian American studies. Follows multiple genealogies of critical work in ethnic and American studies. Same as GWS 305 and LLS 305 ."
AAS 310,Race and Cultural Diversity,4,AAS,Advanced Composition; Cultural Studies - US Minority,"Same as AFRO 310 , EPOL 310 , and LLS 310 . See EPOL 310 ."
AAS 315,"War, Memory, and Cinema",3,AAS,,"Interdisciplinary examination of the ways that memories of war, trauma, and immigration are produced through the medium of film. Because war has been key to discourses and practices of imperialism and globalization, some questions addressed will include how these wars have impacted the nation and the global order, as well as how images about these wars produced important constructions of race, gender, and sexuality for national and cultural identities. Also examines the aftereffects of war by analyzing connections between war's trauma, race, immigration, and incarceration. Students will read critical texts, film theory, screenplays, and view films. Same as GWS 315 . Prerequisite: AAS 100 or AAS 120 , or consent of the instructor."
AAS 317,Asian American Politics,3,AAS,,Same as PS 317 . See PS 317 .
AAS 343,Criminalization and Punishment,3,AAS,,"Same as AFRO 343 , AIS 343 , GWS 343 , and LLS 343 . See LLS 343 ."
AAS 346,Asian American Youth,3,AAS,,"Explores cultural production of second-generation Asian American youth as a historical and social formation. Course examines how youth are actively shaping the U.S. landscape in terms of identity formation, youth, culture, education, juvenile justice, politics and activism, and community formations. These experiences are examined in backdrop of larger historical, economic, racial, social and political forces in the United States. Same as HDFS 341 ."
AAS 355,Race and Mixed Race,3,AAS,,Same as LLS 355 and SOC 355 . See LLS 355 .
AAS 357,Literatures of the Displaced,3,AAS,,"Same as AIS 357 , ENGL 357 , GWS 357 , and LLS 357 . See LLS 357 ."
AAS 365,Asian American Media and Film,3,AAS,,"An examination of media generally and films and videos more specifically (experimental, documentary, independent, and Hollywood features) by, for, and about Asian Americans. Same as MACS 365 . Prerequisite: Any AAS course at the 100- or 200-level, or consent of instructor."
AAS 370,"Immigration, Law, and Rights",3,AAS,Advanced Composition,"Exploration of the histories, cultures, and experiences of immigration to the United States by examining cultural production (literary and visual narratives and texts) alongside legal discourses (legislation, federal court cases). Same as LLS 372 ."
AAS 375,"Prisons, Race, and Terror",3,AAS,,"Examination of the U.S. prison regime, focusing on three dimensions of U.S. imprisonment -- criminal justice, immigrant detention, and martial imprisonment, particularly under the War on Terror. Same as LLS 377 ."
AAS 390,Intermed Topics Asian Am St,3,AAS,,May be repeated in the same or subsequent terms to a maximum of 6 hours.
AAS 395,Adv Asian Am Undergrad Reading,2 or 3,AAS,,Supervised reading and research in upper level Asian American Studies topics chosen by the student with instructor approval. May be repeated to a maximum of 6 hours. Prerequisite: AAS 100 .
AAS 400,Critical Ethnic Studies,3 or 4,AAS,,"Examines the formation of the field of Critical Ethnic Studies and elaborates its key concepts, such as settler colonialism, indigeneity, heteropatriarchy, decolonization, and liberation. Same as LLS 460 . 3 undergraduate hours. 4 graduate hours."
AAS 402,Asian American Education,4,AAS,Advanced Composition; Cultural Studies - US Minority,Same as EPOL 402 . See EPOL 402 .
AAS 435,Commodifying Difference,3 or 4,AAS,,"Same as AFRO 435 , GWS 435 , LLS 435 , and MACS 432 . See LLS 435 ."
AAS 464,Theories & Theologies of Liberation,3 or 4,AAS,,"Same as ANTH 464 , GWS 464 , and REL 464 . See GWS 464 ."
AAS 465,"Race, Sex, and Deviance",3 or 4,AAS,,"Same as AFRO 465 , GWS 465 , and LLS 465 . See LLS 465 ."
AAS 479,"Race, Medicine, and Society",3 or 4,AAS,,Same as ANTH 479 and LLS 479 . See LLS 479 .
AAS 490,Adv Topics in Asian Am Studies,3 or 4,AAS,,"Research seminar on specialized topics in Asian American Studies. 3 or 4 undergraduate hours. 3 or 4 graduate hours. May be repeated if topics vary. Students may register in more than one section per term if topics vary. Prerequisite: AAS 100 or any Asian American Studies course, or consent of instructor."
AAS 494,Writing with Performance: Politics of Love,3,AAS,,"Same as ENGL 494 , FAA 494 , GWS 494 , THEA 484 . See FAA 494 ."
AAS 495,Minoritarian Aesthetics Practicum,3 or 4,AAS,,"Same as ENGL 495 , FAA 495 , GWS 425 , and THEA 468 . See FAA 495 ."
AAS 496,Experiments in Queer of Color Performance,3,AAS,,"Same as ENGL 496 , FAA 496 , GWS 496 , and THEA 486 . See FAA 496 ."
AAS 501,Theory and Methods in AAS,4,AAS,,"Foundational gateway course for graduate study in Asian American Studies, examining the political, historical, epistemological, and cultural bases of the field through an intensive reading of canonical works and study of core concepts in the field. Also highlights the problems of interdisciplinary research and scholarship and adopts an intersectional and coalitional approach to Asian American Studies as it assumes the necessary linkages between other areas in ethic/racial and gender/sexuality studies."
AAS 539,"Youth, Culture and Society",4,AAS,,"Examines youth as a historically and culturally specific social formation; examines discursive and material positioning of youth within broader intersecting racial, cultural, socio-economic, gender and political contexts to situate youth and youth cultural practices within global and local processes. Specific topics include youth cultures, juvenile justice, education, labor, consumerism, politics, sexuality and activism, as well as methodological considerations of conducting research on youth. Same as EPOL 518 , and HDFS 539 ."
AAS 561,Race and Cultural Critique,4,AAS,,"Introduction to graduate level theoretical and methodological approaches in Comparative Race Studies. As a survey of theories of race and racism and the methodology of critique, this course offers an interdisciplinary approach that draws from anthropology, sociology, history, literature, cultural studies, and gender/sexuality studies. In addition, the study of racial and cultural formation is examined from a comparative perspective in the scholarship of racialized and Gender and Women's Studies. Same as AFRO 531 , ANTH 565 , GWS 561 , and LLS 561 ."
AAS 589,Readings in Asian Am Studies,1 to 4,AAS,,Individual guidance in intensive readings in the literature of one or more subdivisions of the field of Asian American Studies. May be repeated to a maximum of 8 hours. Students may register in more than one section per term if topics vary. Prerequisite: Graduate standing or consent of instructor.
AAS 590,Asian Am Studies Seminar,2 to 4,AAS,,Approved for letter and S/U grading. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing or consent of instructor.
AAS 594,Writing the Minor - Minoritarian Aesthetics,4,AAS,,"Same as ENGL 594 , FAA 594 , GWS 594 , and THEA 594 . See FAA 594 ."
AAS 596,Experiments in Minoritarian Aesthetics,4,AAS,,"Same as ENGL 596 , FAA 596 , GWS 596 , and THEA 596 . See FAA 596 ."
ABE 127,Introduction to Agricultural & Biological Engineering,2,ABE,,"Introduction to the engineering profession with career opportunities in the agricultural and biological engineering disciplines. Interactive class activities include concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and team building. Students become familiar with laboratories, computer facilities, and other opportunities that are available to agricultural and biological engineering students. Class emphasis is on problem-solving skills, information synthesis, and technical communication. May not receive credit for both ABE 100 and ABE 127 ."
ABE 128,Applied Biology for Agricultural and Biological Engineers,3,ABE,,"Principles of biology relevant to agriculture, food, energy, and the environment, including microbiology, biochemistry, genetics, plant and animal systems, and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design. Credit not given for both ABE 128 and ABE 141."
ABE 152,Water in the Global Environment,3,ABE,Cultural Studies - Non-West; Nat Sci & Tech - Phys Sciences,"This course develops a comprehensive understanding and appreciation of water and its impact in a global context. The course emphasizes cultural practices associated with water and its use, especially for regions in non-western cultures. Students will develop critical knowledge of: 1) water availability, water quality, and global challenges; 2) historical perspectives of water use; 3) past, present, and future environmental sustainability in relation to water, food, and energy; and 4) conduct analysis of cultural practices and their sustainability based on water in a global context. Students attend 3-4 field trips related to the course."
ABE 199,Undergraduate Open Seminar,1 to 5,ABE,,May be repeated to a maximum of 12 hours.
ABE 227,Computer-Aided Problem-Solving for ABE I,3,ABE,,"Approaches to solving problems in the field of Agricultural and Biological Engineering (ABE) using computer aids. Case studies will consider traditional and new domains in ABE such as: off-highway vehicle engineering, natural resources and environmental systems, control of indoor air environments, bioprocessing of food and agricultural materials, digital and urban agriculture, renewable energy, and sustainability. Typical approaches to problem solving include spreadsheets, GUI based programming, scripting, geospatial platforms, solid modeling, visual programming, dynamic modeling, biological modeling. Prerequisite: One of MATH 220 , MATH 221 , MATH 234 ."
ABE 228,Computer-Aided Problem-Solving for ABE II,3,ABE,,"Case studies from traditional and new domains in ABE will be considered, such as: off-highway vehicles, natural resources and environmental systems, control of indoor air environments, bioprocessing of food and agricultural materials, digital and urban agriculture, renewable energy, sustainability, and synthetic biology. Typical approaches to problem solving include spreadsheets, GUI based programming, scripting, geospatial platforms, solid modeling, visual programming, dynamic modeling, biological modeling. ABE 228 considers complementary approaches and topics covered in ABE 227 . Prerequisite: One of MATH 220 , MATH 221 , MATH 234 ."
ABE 232,Context in International Interventions,3,ABE,Cultural Studies - Non-West; Social & Beh Sci - Soc Sci,"This multi-disciplinary course will examine a new approach to infrastructure engineering for alternately developed societies that seeks to counteract the disconnects and differing objectives among project stakeholders that result in lack of infrastructure sustainability and resiliency. Using a case study from Western Africa, the course will consider the impact of globalization, the attitudes of industrialized societies, and the role of place-based knowledge in designing and implementing infrastructure interventions for rural societies. Same as AFST 233 ."
ABE 340,Thermodynamics for Agricultural and Biological Engineering,3,ABE,,"Fundamental concepts of thermodynamics will be presented and applied to the discipline of Agricultural and Biological Engineering. Topics include: forms of energy, first and second laws of thermodynamics, energy balances on closed and open systems, entropy, refrigeration and cooling. Thermodynamic principles will be applied to Agricultural and Biological Engineering systems: thermodynamics of flow processes, mass and energy balances for non-reacting systems, mechanical energy balances, thermodynamics of food drying, freezing and reaction kinetics of biological systems. Credit is not given toward graduation for ABE 340 and either ME 200 or CHBE 321 . Prerequisite: MATH 241 ."
ABE 341,Transport Processes in ABE,3,ABE,,"Principles of transport processes involving momentum, heat, and mass as applied to biological systems in agriculture, food, energy, and the environment. Credit is not given for both ABE 341 and CHBE 421 . Prerequisite: ABE 227 and ABE 228 ."
ABE 361,Functional Analysis and Design of Agricultural Machine Systems,3,ABE,,"Design and development concepts of agricultural machines; analysis and synthesis of tillage, planting, harvesting, chemical application, material handling mechanisms, and precision farming tools. Prerequisite: TAM 212 ."
ABE 397,Independent Study,1 to 4,ABE,,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor."
ABE 398,Special Topics,1 to 3,ABE,,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate term if topics vary to a maximum of 12 hours.
ABE 412,Applied Data Science for Agricultural and Biological Engineering,3,ABE,,"Use of data to study problems unique to agricultural and biological engineering, identify patterns, and make actionable insights. Course includes (1) exploratory data analysis including data profiling, missing data, description, and data visualization; (2) data processing techniques including singular value decomposition, dimensionality reduction, and Fourier and wavelet transforms; (3) machine learning techniques including regression, classification, feature selection, clustering, and neural networks. 3 undergraduate hours. 3 graduate hours. Prerequisite: CS101 or equivalent and MATH 257 ."
ABE 425,Engrg Measurement Systems,4,ABE,,"Principles of instrumentation systems, including sensing, signal conditioning, computerized data acquisition, test design, data analysis and synthesis. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 425 and ME 360 . Prerequisite: ECE 205 ."
ABE 426,Principles of Mobile Robotics,4,ABE,,"Prepares students in design, navigation, control, and autonomy of aerial and ground robots that operate in harsh, uncertain, and changing field environments. Covers three primary aspects of field robotics: perception (sensing), motion control, and data analytics, and bring everything together through labs involving ground robots and flying unmanned aircraft (drones). Same as ECE 426 . 4 undergraduate hours. 4 graduate hours. Prerequisite: MATH 221 , MATH 257 , and MATH 285 , IE 300 or ECE 313 or STAT 400 , CS 101 or CS 124 or ECE 220 , or graduate standing."
ABE 430,Project Management,2,ABE,,"Engineering team effectiveness; project definition; assessing related technologies; marketing and business planning related to engineering; budgeting and financial analyses of engineering projects; safety, ethics and environmental considerations; intellectual property; engineering proposal presentation. Same as ETMA 430 . 2 undergraduate hours. 2 graduate hours."
ABE 436,Renewable Energy Systems,3 or 4,ABE,,"Renewable energy sources and applications, including solar, geothermal, wind, and biomass. Renewable energy's role in reducing air pollution and global climate change. Capstone project to design a system for converting renewable energy into thermal or electrical energy. 3 undergraduate hours. 4 graduate hours. Credit is not given for both ABE 436 and ETMA 438 . Prerequisite: PHYS 211 ."
ABE 445,Statistical Methods,4,ABE,,Same as ANSC 445 and NRES 445 . See ANSC 445 .
ABE 446,Biological Nanoengineering,3 or 4,ABE,,"Nanodevice design through organization of functional biological components; bio-molecular function and bioconjugation techniques in nanotechnology; modulation of biological systems using nanotechnology; issues related to applying biological nanotechnology in food energy, health, and the environment. 3 undergraduate hours. 4 graduate hours. Prerequisite: MCB 150 ."
ABE 452,Engineering for Disaster Resilience,3 or 4,ABE,,"Project-based design of resilient food, energy, and water supply chains for disaster-prone regions. Students investigate factors that provide context for specific disaster-prone regions and viable design solutions. Students quantify reliability and resilience of potential solutions, work with communities, aid organizations, and peer institutions identifying designs, eventually seeking pathways to implement solutions. Students will emerge with skills for managing such projects, collaborating closely with communities where local factors have impacts on sustainable engineering designs. 3 OR 4 undergraduate hours. 4 graduate hours. May be repeated one time by undergraduate students if the term project differs from previous term, up to total credit of 7 hrs. Not repeatable for graduate credit. Credit is not given toward graduation for: ABE 452 and ETMA 452 ."
ABE 454,Environmental Soil Physics,3,ABE,,"Provides the theoretical basis for understanding and quantifying the physical, hydrological, geotechnical, and thermal properties of soil in relation to environmental processes. Topics include general soil properties as a porous media, particle size, soil structure and aggregation, water retention and potential, flow in saturated soil, flow in an unsaturated soil, soil temperature and heat flow, soil mechanics, infiltration, and soil-plant-water relations. 3 undergraduate hours. 3 graduate hours. Prerequisite: TAM 335 or NRES 201 or consent of instructor."
ABE 455,Erosion and Sediment Control,2,ABE,,"Processes, estimation, and control of soil erosion by water, wind and resultant sedimentation. Upland, in-channel, urban, agricultural, disturbed (both military training and mining), and forested environments. Capstone experience in site planning and design. 2 undergraduate hours. 2 graduate hours. Prerequisite: CEE 350 or NRES 401 ; CEE 380 or NRES 201 ."
ABE 456,Land & Water Resources Engrg,3 or 4,ABE,,"Hydrology, hydraulics, design, construction and cost estimating of structures for the conservation and quality control of soil and water resources; relationship of topography, soils, crops, climate, and cultural practices in conservation and quality control of soil and water for agriculture. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335 ."
ABE 457,NPS Pollution Processes,2,ABE,,"Principles, concepts, and analysis of processes for nonpoint source pollution involving sediment, inorganic and organic chemicals, and microbial pathogens; hydrologic and pollutant interactions, pollutant fate and transport processes from storm water runoff and percolation; impact of pollutant transport on receiving water and ecosystems. 2 undergraduate hours. 2 graduate hours. Prerequisite: ABE 224 or CEE 350 ."
ABE 458,NPS Pollution Modeling,2,ABE,,"Concepts, principles, and application of modeling for assessment and management of agricultural nonpoint source pollution. Modeling of agroecosystems and land use impacts on hydrologic and water quality response of upland catchments. Model selection, calibration, validation, and application for comparative analysis. Case studies in current watershed management issues, with a focus on agricultural waste and nutrient management, using existing field and watershed nonpoint source pollution models. 2 undergraduate hours. 2 graduate hours. Prerequisite: ABE 457 ."
ABE 459,Drainage and Water Management,3 or 4,ABE,,"Design, construction, performance, and maintenance of agricultural drainage systems to meet both production and water quality objectives. Modeling drainage systems. Principles of conservation drainage. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Credit or concurrent registration in TAM 335 ."
ABE 466,Engineering Off-Road Vehicles,3,ABE,,Design and application of off-road vehicles for farm and construction use; thermodynamics of engines; measurement of power and efficiencies; power transmission and traction; chassis mechanics; operator environment. 3 undergraduate hours. 3 graduate hours. Credit is not given for both ABE 466 and ETMA 464 . Prerequisite: ABE 340 or ME 200 .
ABE 469,Capstone Design Experience,4,ABE,Advanced Composition,"Design projects which utilize principles of design, engineering analysis and functional operation of engineering systems. Projects originate from industry, nonprofit entities and federal agencies. Design teams develop concepts, evaluate alternatives, model and analyze solutions, and build and test a final product. Emphases on communication skills, technical writing, and interaction with industry representatives. 4 undergraduate hours. No graduate credit. Prerequisite: Current senior standing in an engineering major. Restricted to undergraduate students."
ABE 476,Indoor Air Quality Engineering,4,ABE,,"Principles and applications of indoor air quality. Particle mechanics, gas kinetics, air quality sampling principles and techniques, air cleaning technologies such as filters, cyclones, electrostatic precipitation for indoor environments; ventilation effectiveness for pollutant control. Research or design project. 4 undergraduate hours. 4 graduate hours. Prerequisite: PHYS 213 , MATH 285 , and TAM 335 ."
ABE 482,Package Engineering,3,ABE,,Same as FSHN 469 . See FSHN 469 .
ABE 483,Engineering Properties of Food Materials,3,ABE,,"Physical properties of foods and biological materials; properties relating to equipment design and the sensing and control of food processes; thermal, electromagnetic radiation, rheological, and other mechanical properties. 3 undergraduate hours. 3 graduate hours. Prerequisite: Restricted to Grainger Engineering Seniors or Graduate students."
ABE 488,Bioprocessing Biomass for Fuel,4,ABE,,"Engineering and scientific principles governing bioprocessing of biomass for production of ethanol and other fermentation products. Process unit operations; conventional and alternative feed stock materials; recovery of value-added coproducts and other variables involved in producing fuel ethanol; process simulation; economic analysis. 4 undergraduate hours. 4 graduate hours. Prerequisite: ABE 340 or ME 200 or CHBE 321 . Restricted to Junior, Senior or Graduate student status."
ABE 497,Independent Study,1 to 4,ABE,,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor."
ABE 498,Special Topics,1 to 4,ABE,,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.
ABE 501,Graduate Seminar: Foundations of Success,1,ABE,,"Basic research orientation, degree program requirements, literature review techniques, peer review of journal articles, presentation skills, safe laboratory practices, case studies, time management and productivity. Prerequisite: Restricted to ABE or ETMAS programs."
ABE 502,Graduate Seminar: Advanced Career Skills,1,ABE,,"Introduction to managing time and stress, completing degree program requirements, research methods, data collection techniques, professional ethics, presentation and communication skills, and project management. Prerequisite: Restricted to ABE or ETMAS programs."
ABE 503,"Graduate Seminar: Integrity, Teaching and Research",1,ABE,,"Introduction to teaching and pedagogy, strategies for engaging students, presentation techniques, feedback, research integrity and thesis preparation. Prerequisite: Restricted to ABE or ETMAS programs."
ABE 526,Autonomous Systems and Robots,4,ABE,,"The objective of this course is to cover theory and techniques essential for building cyber-physical systems capable of autonomous decision making in the real-world. This course will lay a foundation for theory and techniques in autonomous planning, machine learning, and adaptive sequential decision making. Topics covered include Planning under uncertainty, Bayesian Nonparametric machine learning, Deep learning and Neural Networks, Markov Decision Processes, and Reinforcement Learning. A key emphasis of the course is placed on transition of fundamental aspects of autonomous decision making to application on robotics systems. Prerequisite: MATH 225 ; MATH 416 , or equivalent; STAT 400 , MATH 461 or equivalent. An introductory course in machine learning (e.g. CS 446 ), control (e.g. SE 422 ), robotics (e.g. ABE 424, ECE 470 ), OR Artificial Intelligence ( CS 440 ) is required. An introductory software programming course is recommended. Restricted to graduate students in Engineering."
ABE 532,Advanced Contextual Design,4,ABE,,"Contextual Engineering addresses the loss of infrastructure usability, sustainability, and resiliency in non-industrialized societal settings that often results from disconnects and differing objectives among stakeholders. Using case studies and technical infrastructure designs, the impacts of globalization, Western attitudes, power dynamics, and place-based knowledge are explored and applied to infrastructure design and implementation processes, particularly when serving rural societies. Application of these concepts will then be conducted for specific design efforts associated with the student's own engineering discipline."
ABE 597,Independent Study,1 to 4,ABE,,Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.
ABE 598,Special Topics,1 to 4,ABE,,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. May be repeated in the same or separate terms if topics vary to a maximum of 8 hours.
ABE 599,Thesis Research,0 to 16,ABE,,Approved for S/U grading only. May be repeated in the same term or in separate terms.
ACCY 199,Undergraduate Open Seminar,1 to 5,ACCY,,May be repeated.
ACCY 200,Fundamentals of Accounting,3,ACCY,,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202 . Prerequisite: Sophomore standing.
ACCY 201,Accounting and Accountancy I,3,ACCY,,"Develops a foundation for understanding and analyzing how accounting information is generated and interpreted by both external and internal decision makers. Students will begin by identifying the information conveyed in each of the basic financial statements and understand the way that this information is used by different external decision makers. Students will then focus on information used by management, with an emphasis on analysis to facilitate and guide management decision making, planning and control. Credit is not given for both ACCY 201 and ACCY 200 . Prerequisite: Prior to enrollment in ACCY 201 , students must: 1) have completed either ECON 102 or ECON 103 ; AND 2) have completed or be concurrently enrolled in the remaining ECON 102 or ECON 103 course."
ACCY 202,Accounting and Accountancy II,3,ACCY,,"Further develops the student's understanding of accrual accounting, the goals and objectives of financial reporting, the information needs of end users, the qualities of useful information, as well as the financial statements and financial statement elements. Students will analyze and record progressively more complex transactions, continuing to take the economic event from inception to reporting. Recurring themes and foundational concepts are emphasized such that students can develop intuition for accounting measurement and reporting. Credit is not given for both ACCY 202 and ACCY 200 . Prerequisite: ACCY 201 or equivalent."
ACCY 290,Prof Internship in Accountancy,0 to 3,ACCY,,"Formalized learning experience in combination with practice of accounting while engaged in an internship with a public accounting firm, business, or other off-campus organization; prior approval of learning plan and a summary report of learning experience are required. Approved for Letter and S/U grading. May be repeated in subsequent terms to a maximum of 3 hours. Prerequisite: Open to Department of Accountancy students; completion of ACCY 201 and ACCY 202 (or equivalent); and consent of department."
ACCY 301,Atg Measurement & Disclosure,3,ACCY,,"Introduction to measurement and reporting of organizational performance for strategic and operational purposes with a focus on a variety of financial and non-financial performance measures suitable for both internal and external decision-making. Projects, together with a series of practical workshops, facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent and recommend concurrent enrollment in ACCY 302 for Accountancy majors."
ACCY 302,Decision Making for Atg,3,ACCY,,"We will develop and apply a framework to better understand the specific types of accounting information managers need to make key operational and strategic decisions. Utilizing business case studies and real-world projects, the course will also develop skills in gathering, visualizing, and statistically analyzing this accounting information to inform these important decisions. Prerequisite: ACCY 202 or equivalent; BADM 210 or concurrent enrollment or equivalent; and recommend concurrent enrollment in ACCY 301 for Accountancy majors."
ACCY 303,Accounting Institutions and Regulation,3,ACCY,,"Measurement and reporting of firm's liabilities and shareholders' equity. Topics include current liabilities, contingencies, subsequent events, bonds, leases, pensions, equity issuance and repurchase, dividends, and equity-based compensation. Prerequisite: ACCY 301 and FIN 221 ."
ACCY 304,Accounting Control Systems,3,ACCY,,"Explores an important framework that highlights the vital roles accounting control systems play in shaping and implementing organizational strategy. Components of this framework include internal controls, organizational missions and values, codes of ethics, performance measurement, evaluation, and reward systems. Case studies, class discussions, group exercises, and field research projects emphasize critical reasoning, data analytics, teamwork, and written and oral communication. Prerequisite: ACCY 301 and ACCY 302 ."
ACCY 312,Principles of Taxation,3,ACCY,,"Introduction to the United States federal income tax system with an emphasis on income tax determination and the taxation of property transactions. Topics include the tax environment, tax provisions relevant to businesses, employees and business owners. Projects facilitate self-discovery of knowledge and development of a variety of professional skills and attitudes. Prerequisite: ACCY 202 or equivalent."
ACCY 321,Principles of Public Policy,3,ACCY,,"Same as ACE 321 , BADM 303 , and PS 321 . See PS 321 ."
